,Classification,Channel,Collection,Incidental expense sharing
0,,,,Case specific cost sharing as determined
1,Retailer,Retail store,Case specific and contract specific,
2,,,,by mutual agreement
3,,"General merchandise store,",,Case specific cost sharing as determined
4,Dealer,,Case specific and contract specific,
5,,"discount store, department store",,by mutual agreement
6,,,,Case specific cost sharing as determined
7,Distributor,Direct sales to local distributors,Case specific and contract specific,
8,,,,by mutual agreement
9,B2B and online,,,
10,,"Corporate clients, etc.",Case specific and contract specific,N/A
11,channels,,,
