,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,Financial liabilities,,,,
2,Trade payables,"10,644,686",-,-,"10,644,686"
3,Short-term borrowings,"1,577,958",-,"3,569,357","5,147,315"
4,Other payables,"16,328,237",-,-,"16,328,237"
5,Current portion of long-term liabilities,"215,143",-,"874,019","1,089,162"
6,Debentures,"536,093",-,-,"536,093"
7,Long-term borrowings,"33,846",-,"3,526,826","3,560,672"
8,Long-term other payables,"2,289,236",-,-,"2,289,236"
9,Other,"12,047,761","334,415","27,353","12,409,529"
10,Total,"43,672,960","334,415","7,997,555","52,004,930"
