,DX Division,Unnamed: 0
0,Research project,Details
1,,□ Galaxy A32 LTEᆞ5G (LTE: March 2021; 5G: January 2021)
2,,-Offer enhanced user experience and increase competitiveness by strengthening core features
3,,"-Screen: LTE 6.4"" FHD+ sAMOLED (2,400 x 1,080)/5G 6.5"" HD+ TFT (1,600 x 720)"
4,,-Size (W x H x D): LTE 73.6mm x 158.9mm x 8.4mm/5G 76.1mm x 164.2mm x 9.1mm
5,,"-Platform (H/W, S/W): LTE MT6769T/5G MT6853V, Android 11, One UI 3.1"
6,,-LTE
7,, Brightest Display: 800nit Super AMOLED
8,, High Resolution Camera: 64MP Quad (64M W/8M UW/5M Macro/5M Depth)
9,," High Capacity Battery: 5,000mAh"
10,,-5G
11,," Rich Camera Experience of 48MP Quad, Penta Mode Camera (48M W/8M UW/5M Macro/2M Depth)"
12,,-High Capacity Battery: 5000mAh
13,,□ Galaxy Quantum2 A82 (April 2021)
14,,"-Screen: 6.7"" QHD+ (3,200 x 1,440)"
15,,"-Size (W x H x D) & weight: 161.9mm x 73.8mm x 8.1mm, 176g"
16,,"-Platform (H/W, S/W): SDM855+, Android 11, One UI 3.1"
17,,-Applied QRNG security chip set
18,,-Supports expansive large-screen and smooth screen transition of 120Hz
19,," Powerful camera that enables photographing on a professional level (ultra-wide 12MP, main 64MP, close-up 5MP)"
20,,□ Galaxy A03-Core (December 2021)
21,,"-Screen: 6.5"" HD+(1480 x 720) TFT 60Hz"
22,,"-Size (W x H x D) & weight: 164.2mm x 75.9mm x 9.1mm, 211g"
23,,"-Platform (H/W, S/W): 28nm octa-core processor, Android 11(Android GO)"
24,, Enhanced CPU performance compared to previous model A01-Core (28nm quad-core processor)
25,,-Highly price efficient product that applies large-screen/high-capacity battery to address the entry market
26,,"-Enhanced display (5.3""→6.5"" HD+) and battery (3,000→5,000mAh) compared to previous model A01-Core"
27,,□ Galaxy A23 (March 2022)
28,,-Screen: 6.6” FHD+ (2408 x 1080) 90Hz
29,,"-Size (W x H x D) & weight: 76.9mm x 165.4mm x 8.4mm, 195g"
30,,"-Platform (H/W, S/W):SDM680, Android 12, One UI 4.1"
31,,"-6.6"" FHD+ display, supports 90Hz screen refresh rate (previous model: A22 6.4"" HD+ 90Hz)"
32,,-Vivid pictures in the dark without camera shake with the adoption of high-definition 50MP OIS camera
33,," Adoption of high-capacity 5,000mAh battery and supports 25W ultra-fast charging"
34,,□ Galaxy A13 5G (January 2022)
35,,-Screen: 6.5” HD+ (1600 x 720) 90Hz
36,,"-Size (W x H x D) & weight: 76.5mm x 164.5mm x 8.8mm, 195g"
37,,"-6.5"" HD+ display, supports 90Hz screen refresh rate (previous model: A12 6.5"" HD+ 60Hz)"
38,,-Super-low priced 5G model for LTE user migration and expansion of the 5G market
39,,-Strengthened AP (5G) AP (MT6765 → MT6833v) to address entry market
40,,-Higher definition of pictures compared to the previous model (A12 16MP) with the application of 50MP camera
41,,□ Galaxy A13 LTE (March 2022)
42,,-Screen: 6.6” FHD+ (2400 x 1080) 60Hz
43,,"-Size (W x H x D) & weight: 76.4mm x 165.1mm x 8.8mm, 195g"
44,,"-Platform (H/W, S/W): 8nm octa-core processor, Android 12, One UI Core 4.1"
45,,"-Provides better large screen experience compared to the previous model (A12 6.5"" HD+) by adopting 6.6"" FHD+ display"
46,,-Higher definition of pictures compared to the previous model (A12 48MP) by adopting 50MP camera
47,,"-Able to use up to two days on a single charge by applying 5,000mAh high-capacity battery and AI Power mode"
48,,□ Galaxy A73 5G (April 2022)
49,-Screen: 6.7” FHD+ Super AMOLED+ (1080 x 2400) 120Hz,
50,"-Size (W x H x D) & weight: 76.1mm x 163.7mm x 7.6mm, 181g",
51,"-Platform (H/W, S/W): SDM778G, Android 12, One UI 4.1",
52,-Vivid pictures in the dark without camera shake with the support of 108MP high-resolution picture quality and OIS,
53,-Soft and clear screen experience with the adoption of high refresh rate of 120Hz and sAMOLED display,
54,"-Adopts 5,000mAh high-capacity battery (2-day battery life) and supports 25W ultra-fast charging speed",
55,-Offers strong durability with the adoption of Gorilla Glass 5 and IP67 rating,
56,-Provides the latest flagship experience with the support of One UI 4.1,
